,bn,en,hi,ml,ta,te,ur
bn,,17.38,0.0,0.0,0.0,0.0,0.0
en,10.13,,20.92,7.7,11.95,17.1,15.78
hi,0.0,28.99,,0.0,0.0,0.0,0.0
ml,0.0,12.77,0.0,,0.0,0.0,0.0
ta,0.0,19.16,0.0,0.0,,0.0,0.0
te,0.0,23.96,0.0,0.0,0.0,,0.0
ur,0.0,21.15,0.0,0.0,0.0,0.0,
