,hi,ta,te,ml,ur,bn,en
en,0.0,0.0,0.0,0.0,0.0,0.0,
hi,,0.0,0.0,0.0,0.0,0.0,33.4
ta,0.0,,0.0,0.0,0.0,0.0,23.8
te,0.0,0.0,,0.0,0.0,0.0,28.1
ml,0.0,0.0,0.0,,0.0,0.0,16.0
ur,0.0,0.0,0.0,0.0,,0.0,24.8
bn,0.0,0.0,0.0,0.0,0.0,,20.9
