,bn,en,gu,hi,ml,mr,or,ta,te,ur
bn,,16.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gu,0.0,21.41,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.0,21.99,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
ml,0.0,16.93,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
mr,0.0,18.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
or,0.0,19.48,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ta,0.0,15.62,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
te,0.0,10.17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ur,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
