,bn,en,hi,ml,ta,te,ur
bn,,20.62,0.0,0.0,0.0,0.0,0.0
en,0.0,,0.0,0.0,0.0,0.0,0.0
hi,0.0,34.09,,0.0,0.0,0.0,0.0
ml,0.0,16.38,0.0,,0.0,0.0,0.0
ta,0.0,23.85,0.0,0.0,,0.0,0.0
te,0.0,29.47,0.0,0.0,0.0,,0.0
ur,0.0,25.88,0.0,0.0,0.0,0.0,
