,bn,en,hi,ml,ta,te,ur
bn,,16.5,0.0,0.0,0.0,0.0,0.0
en,9.47,,20.3,7.16,11.1,15.5,15.3
hi,0.0,28.1,,0.0,0.0,0.0,0.0
ml,0.0,11.8,0.0,,0.0,0.0,0.0
ta,0.0,18.1,0.0,0.0,,0.0,0.0
te,0.0,22.8,0.0,0.0,0.0,,0.0
ur,0.0,20.2,0.0,0.0,0.0,0.0,
