,hi,ta,te,ml,ur,bn,gu,mr,pa,en
en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
hi,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2
ta,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6
te,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,21.4
ml,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,17.4
ur,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,26.0
bn,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,21.8
gu,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,28.0
mr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,25.5
pa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.5
