,bn,en,hi,ml,ta,te,ur
bn,,18.4,0.0,0.0,0.0,0.0,0.0
en,8.95,,20.2,7.45,10.1,14.9,13.3
hi,0.0,29.2,,0.0,0.0,0.0,0.0
ml,0.0,13.5,0.0,,0.0,0.0,0.0
ta,0.0,20.3,0.0,0.0,,0.0,0.0
te,0.0,23.4,0.0,0.0,0.0,,0.0
ur,0.0,21.4,0.0,0.0,0.0,0.0,
