,bn,en,gu,hi,ml,mr,pa,ta,te,ur
bn,,21.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gu,0.0,28.85,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.0,31.82,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
ml,0.0,17.56,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
mr,0.0,26.55,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
pa,0.0,30.13,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ta,0.0,15.14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
te,0.0,24.98,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ur,0.0,26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
