,bn,en,gu,hi,ml,mr,or,ta,te,ur
bn,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gu,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
ml,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
mr,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
or,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
te,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
