,bn,en,hi,ml,ta,te,ur
bn,,21.36,0.0,0.0,0.0,0.0,0.0
en,0.0,,0.0,0.0,0.0,0.0,0.0
hi,0.0,34.44,,0.0,0.0,0.0,0.0
ml,0.0,17.17,0.0,,0.0,0.0,0.0
ta,0.0,24.77,0.0,0.0,,0.0,0.0
te,0.0,31.44,0.0,0.0,0.0,,0.0
ur,0.0,27.79,0.0,0.0,0.0,0.0,
