,bn,en,gu,hi,ml,mr,or,ta,te,ur
bn,,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gu,0.0,23.57,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.0,23.12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
ml,0.0,18.59,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
mr,0.0,19.75,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
or,0.0,21.33,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ta,0.0,17.14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
te,0.0,13.94,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ur,0.0,26.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
