,bn,en,gu,hi,ml,mr,pa,ta,te,ur
bn,,21.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gu,0.0,29.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.0,31.45,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
ml,0.0,18.11,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
mr,0.0,26.44,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
pa,0.0,30.56,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ta,0.0,14.19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
te,0.0,24.31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ur,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
