,bn,en,gu,hi,ml,mr,or,ta,te,ur
bn,,18.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gu,0.0,23.39,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi,0.0,22.98,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
ml,0.0,18.86,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
mr,0.0,19.53,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
or,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ta,0.0,17.05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
te,0.0,13.74,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
