,bn,en,hi,ml,ta,te,ur
bn,,16.7,0.0,0.0,0.0,0.0,0.0
en,9.58,,20.3,7.92,11.6,16.6,16.5
hi,0.0,28.3,,0.0,0.0,0.0,0.0
ml,0.0,12.7,0.0,,0.0,0.0,0.0
ta,0.0,18.6,0.0,0.0,,0.0,0.0
te,0.0,22.5,0.0,0.0,0.0,,0.0
ur,0.0,21.1,0.0,0.0,0.0,0.0,
