,bn,en,hi,ml,ta,te,ur
bn,,16.67,0.0,0.0,0.0,0.0,0.0
en,9.69,,19.99,7.19,10.86,16.19,13.27
hi,0.0,27.99,,0.0,0.0,0.0,0.0
ml,0.0,11.97,0.0,,0.0,0.0,0.0
ta,0.0,17.82,0.0,0.0,,0.0,0.0
te,0.0,21.63,0.0,0.0,0.0,,0.0
ur,0.0,20.57,0.0,0.0,0.0,0.0,
