,hi,ta,te,ml,ur,bn,gu,mr,pa,en
en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
hi,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3
ta,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1
te,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,23.4
ml,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,18.2
ur,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,27.3
bn,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,22.1
gu,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,29.4
mr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,26.4
pa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.9
