,bn,en,hi,ml,ta,te,ur
bn,,16.6,0.0,0.0,0.0,0.0,0.0
en,9.69,,19.9,7.19,10.8,16.1,13.2
hi,0.0,27.9,,0.0,0.0,0.0,0.0
ml,0.0,11.9,0.0,,0.0,0.0,0.0
ta,0.0,17.8,0.0,0.0,,0.0,0.0
te,0.0,21.6,0.0,0.0,0.0,,0.0
ur,0.0,20.5,0.0,0.0,0.0,0.0,
